brand,model,year,miles,used_car_price,past_owners,accident_reported,exterior,interior,msrp_car_price
toyota,tacoma,2021,21044,33998,1,0,Black,Gray,30318.438
toyota,highlander,2021,64785,29469,1,0,Gray,Black,37219.773
dodge,challenger,2019,64587,21449,1,1,Gray,Black,39230.455
toyota,corolla,2021,12170,20442,1,1,Silver,Black,20221.176
toyota,camry,2015,101711,15998,2,1,Silver,Black,26952.895
mercedes-benz,e-class,2019,41075,26991,1,1,Black,Black,61857.143
toyota,corolla,2021,24212,20394,1,0,White,Black,20221.176
volvo,xc90,2021,17269,48991,1,0,Black,Black,50794.118
mazda,cx-5,2020,42700,23998,1,0,Red,Beige,25403.966
toyota,corolla,2015,30778,14790,2,1,Black,Black,20221.176
bmw,3 series,2017,72071,17998,2,0,Black,Black,40897.059
mercedes-benz,c-class,2023,10109,39776,1,0,Silver,Black,49298.378
subaru,outback,2021,14618,28097,1,0,Black,Gray,29622.25
toyota,corolla,2021,62665,17000,1,0,Black,Black,20221.176
volkswagen,tiguan,2020,46797,20998,1,0,Red,Black,31650.962
honda,accord,2018,34889,24400,2,0,Blue,Black,27886.067
bmw,x5,2020,33059,37999,1,0,White,Black,60308.333
mercedes-benz,gle,2021,33257,39591,1,0,Silver,Beige,73775.455
kia,soul,2022,33047,16988,1,0,White,Black,18046.667
chevrolet,silverado 1500,2018,50079,24777,4,0,White,Black,38876.218
toyota,sienna,2020,10093,35666,1,1,Silver,Black,37672.843
mercedes-benz,c-class,2018,55367,24166,2,0,White,Black,49298.378
chevrolet,malibu,2022,41386,19998,1,1,Silver,Black,25704.737
audi,q7,2023,2738,53155,1,0,Black,Black,57373.333
volkswagen,tiguan,2021,28914,18993,1,0,White,Black,31650.962
ford,explorer,2022,28520,26800,1,0,White,Black,38451.304
nissan,versa,2021,62103,15641,1,0,Blue,Gray,14660.625
mercedes-benz,e-class,2021,15900,36591,1,0,Red,Beige,61857.143
ford,explorer,2020,44609,24595,2,1,Black,Black,38451.304
volkswagen,jetta,2019,33822,15444,1,0,Black,Black,23953.525
toyota,highlander,2021,16775,40222,1,0,Red,Black,37219.773
toyota,4runner,2021,62820,27600,1,0,Red,Black,38221.346
subaru,forester,2021,12548,28699,1,0,White,Brown,27336.667
ford,bronco,2022,5189,57444,1,0,Silver,Beige,2697.0
mercedes-benz,cla,2023,9431,40018,1,0,White,Black,38427.778
toyota,tundra,2021,20874,41394,1,0,Green,Black,37844.25
audi,q5,2023,4888,44672,1,0,Gray,Black,48255.0
bmw,3 series,2023,3271,45222,1,0,Black,Black,40897.059
mercedes-benz,glc,2021,37321,31329,1,1,White,Black,40050.0
subaru,crosstrek,2020,34869,24995,1,0,White,Black,24175.0
nissan,rogue,2021,59839,19988,2,0,White,Black,26121.0
toyota,corolla,2011,64526,11420,1,1,Gray,Gray,20221.176
subaru,outback,2023,5609,35479,1,0,White,Gray,29622.25
hyundai,sonata,2015,122881,10495,2,0,White,Black,25707.639
toyota,camry,2022,27681,20499,1,0,Silver,Black,26952.895
mercedes-benz,e-class,2022,5873,43887,1,0,White,Black,61857.143
honda,passport,2022,10301,34649,1,0,White,Black,22185.7
bmw,3 series,2007,97688,7995,2,1,Silver,Gray,40897.059
bmw,7 series,2016,78768,21999,2,1,Gray,Brown,90662.5
bmw,3 series,2020,25727,26998,1,1,Black,Black,40897.059
subaru,outback,2022,31748,25499,1,0,White,Gray,29622.25
volkswagen,tiguan,2020,30533,18529,1,0,Gray,Black,31650.962
chevrolet,colorado,2021,30455,23333,1,1,Black,Black,27664.722
toyota,camry,2022,29934,29998,1,0,Black,Black,26952.895
mercedes-benz,e-class,2022,9842,44774,1,0,White,Black,61857.143
subaru,outback,2020,40394,26828,1,0,Black,Gray,29622.25
porsche,macan,2020,39689,36998,1,1,Blue,Black,61725.0
audi,q3,2021,62112,21699,1,0,White,Black,36292.857
mazda,3,2021,40810,23998,1,0,Gray,Red,22195.0
ford,escape,2020,59773,15994,1,1,Black,Black,27458.667
toyota,corolla,2021,41229,18500,1,0,White,Black,20221.176
chevrolet,equinox,2023,3306,25000,1,0,Blue,Black,27577.391
bmw,3 series,2020,83353,19999,2,0,Red,Beige,40897.059
